Tarih,Ürün,Kategori,Miktar,Birim Fiyat,Toplam,Müşteri,Bölge,Ödeme Durumu,Kargo,Notlar,Ay
2024-01-15,Buğday Tohumu,Tahıl,500,25,12500,ABC Tarım,Ankara,Ödendi,Teslim Edildi,Erken Sezon,Ocak
2024-01-16,Mısır Tohumu,Tahıl,300,30,9000,XYZ Çiftlik,İzmir,Bekliyor,Hazırlanıyor,,Ocak
2024-01-18,Domates Tohumu,Sebze,200,45,9000,Bahçe Market,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Ocak
2024-01-20,Biber Tohumu,Sebze,150,40,6000,Yeşil Bahçe,Antalya,Ödendi,Teslim Edildi,,Ocak
2024-01-22,Arpa Tohumu,Tahıl,400,20,8000,Çiftçi Kooperatifi,Konya,Bekliyor,Hazırlanıyor,,Ocak
2024-01-25,Buğday Tohumu,Tahıl,600,25,15000,Mega Tarım,Ankara,Ödendi,Teslim Edildi,,Ocak
2024-01-28,Salatalık Tohumu,Sebze,180,35,6300,Organik Üretim,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Ocak
2024-01-30,Mısır Tohumu,Tahıl,350,30,10500,ABC Tarım,İzmir,Ödendi,Teslim Edildi,,Ocak
2024-02-02,Patlıcan Tohumu,Sebze,120,50,6000,XYZ Çiftlik,İstanbul,Bekliyor,Hazırlanıyor,,Şubat
2024-02-05,Buğday Tohumu,Tahıl,550,25,13750,Bahçe Market,Ankara,Ödendi,Teslim Edildi,,Şubat
2024-02-08,Domates Tohumu,Sebze,220,45,9900,Yeşil Bahçe,İstanbul,Ödendi,Teslim Edildi,Sera tipi,Şubat
2024-02-10,Mısır Tohumu,Tahıl,320,30,9600,Çiftçi Kooperatifi,İzmir,Ödendi,Teslim Edildi,,Şubat
2024-02-12,Biber Tohumu,Sebze,160,40,6400,Mega Tarım,Antalya,Bekliyor,Hazırlanıyor,,Şubat
2024-02-15,Arpa Tohumu,Tahıl,450,20,9000,Organik Üretim,Konya,Ödendi,Teslim Edildi,,Şubat
2024-02-18,Buğday Tohumu,Tahıl,580,25,14500,ABC Tarım,Ankara,Ödendi,Teslim Edildi,,Şubat
2024-02-20,Salatalık Tohumu,Sebze,190,35,6650,XYZ Çiftlik,Bursa,Ödendi,Teslim Edildi,Organik sertifikalı,Şubat
2024-02-22,Mısır Tohumu,Tahıl,340,30,10200,Bahçe Market,İzmir,Ödendi,Teslim Edildi,,Şubat
2024-02-25,Domates Tohumu,Sebze,210,45,9450,Yeşil Bahçe,İstanbul,Bekliyor,Hazırlanıyor,Sera tipi,Şubat
2024-02-28,Patlıcan Tohumu,Sebze,130,50,6500,Çiftçi Kooperatifi,İstanbul,Ödendi,Teslim Edildi,,Şubat
2024-03-01,Buğday Tohumu,Tahıl,620,25,15500,Mega Tarım,Ankara,Ödendi,Teslim Edildi,,Mart
2024-03-04,Biber Tohumu,Sebze,170,40,6800,Organik Üretim,Antalya,Ödendi,Teslim Edildi,,Mart
2024-03-06,Mısır Tohumu,Tahıl,360,30,10800,ABC Tarım,İzmir,Bekliyor,Hazırlanıyor,,Mart
