Tarih,Kampanya_Adi,Kanal,Harcama,Goruntulenme,Tiklama,CTR,Lead,CPL,Donusum,Donusum_Orani,Gelir,ROI,CAC,ROAS
2024-01-15,Yeni Yıl İndirimi,Google Ads,85000,425000,12750,3.0,425,200,58,13.6,1450000,1606,1466,17.06
2024-01-20,Sosyal Medya Farkındalık,Facebook,52000,680000,20400,3.0,340,153,48,14.1,1200000,2208,1083,23.08
2024-01-25,LinkedIn B2B,LinkedIn,72000,185000,7400,4.0,296,243,42,14.2,1155000,1504,1714,16.04
2024-02-10,Sevgililer Günü,Instagram,48000,520000,15600,3.0,312,154,45,14.4,1125000,2244,1067,23.44
2024-02-18,Google Display,Google Display,38000,850000,17000,2.0,255,149,35,13.7,875000,2203,1086,23.03
2024-02-25,E-posta Pazarlama,Email,12000,95000,9500,10.0,475,25,68,14.3,1700000,14067,176,141.67
2024-03-08,Kadınlar Günü,Facebook,55000,720000,21600,3.0,360,153,52,14.4,1300000,2264,1058,23.64
2024-03-15,Bahar Kampanyası,Google Ads,92000,460000,13800,3.0,460,200,65,14.1,1625000,1666,1415,17.66
2024-03-22,YouTube Video,YouTube,65000,1200000,36000,3.0,540,120,76,14.1,1900000,2823,855,29.23
2024-04-05,İlkbahar İndirimi,Instagram,50000,550000,16500,3.0,330,152,47,14.2,1175000,2250,1064,23.50
2024-04-12,Retargeting,Google Ads,42000,280000,11200,4.0,336,125,52,15.5,1300000,2995,808,30.95
2024-04-20,LinkedIn Sponsorlu,LinkedIn,78000,195000,7800,4.0,312,250,46,14.7,1265000,1522,1696,16.22
2024-05-01,1 Mayıs Özel,Facebook,58000,760000,22800,3.0,380,153,55,14.5,1375000,2270,1055,23.71
2024-05-10,Google Search,Google Ads,95000,420000,12600,3.0,504,188,72,14.3,1800000,1795,1319,18.95
2024-05-18,Instagram Reels,Instagram,48000,620000,18600,3.0,310,155,45,14.5,1125000,2244,1067,23.44
2024-06-05,Yaz Kampanyası,Google Ads,98000,490000,14700,3.0,490,200,70,14.3,1750000,1686,1400,17.86
2024-06-15,Influencer İşbirliği,Instagram,85000,980000,29400,3.0,490,173,72,14.7,1800000,2018,1181,21.18
2024-06-22,Facebook Carousel,Facebook,62000,820000,24600,3.0,410,151,60,14.6,1500000,2319,1033,24.19
2024-07-08,Tatil Öncesi,Google Ads,105000,525000,15750,3.0,525,200,76,14.5,1900000,1710,1382,18.10
2024-07-15,Yaz İndirimleri,Instagram,52000,580000,17400,3.0,348,149,51,14.7,1275000,2352,1020,24.52
2024-07-25,LinkedIn Thought Leadership,LinkedIn,82000,205000,8200,4.0,328,250,48,14.6,1320000,1510,1708,16.10
2024-08-05,Yaz Sonu Fırsatları,Facebook,60000,800000,24000,3.0,400,150,58,14.5,1450000,2317,1034,24.17
2024-08-12,Google Shopping,Google Shopping,88000,510000,20400,4.0,612,144,89,14.5,2225000,2428,989,25.28
2024-08-22,Instagram Stories,Instagram,50000,640000,19200,3.0,320,156,47,14.7,1175000,2250,1064,23.50
2024-09-05,Okul Dönemi,Google Ads,110000,550000,16500,3.0,550,200,80,14.5,2000000,1718,1375,18.18
2024-09-15,Facebook Video,Facebook,65000,860000,25800,3.0,430,151,63,14.7,1575000,2323,1032,24.23
2024-09-25,LinkedIn Lead Gen,LinkedIn,85000,215000,8600,4.0,344,247,51,14.8,1403000,1550,1667,16.51
2024-10-05,Sonbahar Kampanyası,Google Ads,115000,575000,17250,3.0,575,200,84,14.6,2100000,1726,1369,18.26
2024-10-15,Black Friday Erken,Instagram,55000,620000,18600,3.0,372,148,55,14.8,1375000,2400,1000,25.00
2024-10-25,YouTube Influencer,YouTube,72000,1350000,40500,3.0,607,119,89,14.7,2225000,2990,809,30.90
2024-11-05,Black Friday Ön,Google Ads,120000,600000,18000,3.0,600,200,88,14.7,2200000,1733,1364,18.33
2024-11-15,Black Friday Ana,Google Ads,185000,750000,22500,3.0,750,247,112,14.9,2800000,1414,1652,15.14
2024-11-25,Cyber Monday,Facebook,95000,980000,29400,3.0,490,194,73,14.9,1825000,1821,1301,19.21
2024-12-05,Yılbaşı Erken,Instagram,58000,680000,20400,3.0,408,142,61,15.0,1525000,2529,951,26.29
2024-12-15,Yılbaşı Kampanyası,Google Ads,125000,625000,18750,3.0,625,200,94,15.0,2350000,1780,1330,18.80
2024-12-25,Son Dakika Hediye,Facebook,68000,920000,27600,3.0,460,148,69,15.0,1725000,2437,986,25.37










