Tarih,Firma,Kategori,Tutar,Ödeme Türü,Notlar
2024-01-15,ABC Teknoloji,Yazılım Lisansı,15000,Kredi Kartı,Annual subscription
2024-01-16,XYZ Market,Perakende Satış,2500,Nakit,Günlük satış
2024-01-17,DEF Otel,Konaklama,8500,Banka Transfer,3 gece
2024-01-18,GHI Restoran,Yiyecek-İçecek,1200,Kredi Kartı,Öğle yemeği
2024-01-19,JKL Mühendislik,Danışmanlık,25000,Çek,Proje danışmanlığı
2024-01-20,MNO E-ticaret,Online Satış,3400,Online Ödeme,Ürün satışı
2024-01-21,PQR Holding,Kurumsal Paket,45000,Banka Transfer,Yıllık sözleşme
2024-01-22,STU Kafe,Perakende Satış,850,Nakit,Kahve satışı
2024-01-23,VWX Ajans,Reklam Hizmeti,12000,Kredi Kartı,Sosyal medya yönetimi
2024-01-24,YZA Tekstil,Toptan Satış,18000,Banka Transfer,500 adet
2024-01-25,BCD Lojistik,Taşımacılık,5500,Çek,Şehirlerarası
2024-01-26,EFG Pharma,Sağlık Ürünleri,9200,Kredi Kartı,İlaç satışı
2024-01-27,HIJ Mobilya,Perakende Satış,32000,Taksitli Ödeme,Ofis mobilyası
2024-01-28,KLM Oto,Araç Kiralama,4500,Nakit,3 günlük kiralama
2024-01-29,NOP Sigorta,Sigorta Primi,7800,Banka Transfer,Aylık prim
2024-01-30,QRS Yazılım,SaaS Abonelik,2200,Kredi Kartı,Aylık abonelik
2024-02-01,TUV Market,Perakende Satış,1850,Nakit,Günlük satış
2024-02-02,WXY Hotel,Konaklama,11000,Kredi Kartı,5 gece
2024-02-03,ZAB Restaurant,Yiyecek-İçecek,2400,Online Ödeme,Akşam yemeği
2024-02-04,CDE Consulting,Danışmanlık,35000,Banka Transfer,Stratejik danışmanlık
2024-02-05,FGH E-commerce,Online Satış,4100,Kredi Kartı,Kampanya satışı
2024-02-06,IJK Corp,Kurumsal Paket,52000,Çek,Enterprise plan
2024-02-07,LMN Cafe,Perakende Satış,950,Nakit,Kahve & snack
2024-02-08,OPQ Agency,Pazarlama,14500,Kredi Kartı,SEO hizmeti
2024-02-09,RST Textile,Toptan Satış,21000,Banka Transfer,800 adet
2024-02-10,UVW Logistics,Taşımacılık,6200,Online Ödeme,Express teslimat
2024-02-11,XYZ Pharma,Sağlık Ürünleri,10500,Kredi Kartı,Reçeteli ilaç
2024-02-12,ABC Furniture,Perakende Satış,28000,Taksitli Ödeme,Yatak odası takımı
2024-02-13,DEF Auto,Araç Satış,85000,Banka Transfer,Sıfır araç
2024-02-14,GHI Insurance,Sigorta Primi,8100,Çek,Aylık prim










