date,day_of_week,shift,covers,avg_check,total_revenue,food_revenue,beverage_revenue,table_turnover
2024-01-02,Salı,Lunch,85,120,10200,7650,2550,1.8
2024-01-02,Salı,Dinner,142,185,26270,19703,6567,2.3
2024-01-05,Cuma,Lunch,105,125,13125,9844,3281,2.1
2024-01-05,Cuma,Dinner,198,195,38610,28958,9652,2.8
2024-01-06,Cumartesi,Lunch,118,130,15340,11505,3835,2.2
2024-01-06,Cumartesi,Dinner,215,205,44075,33056,11019,3.1
2024-01-12,Cuma,Lunch,102,122,12444,9333,3111,2.0
2024-01-12,Cuma,Dinner,195,192,37440,28080,9360,2.7
2024-01-13,Cumartesi,Lunch,115,128,14720,11040,3680,2.1
2024-01-13,Cumartesi,Dinner,208,202,42016,31512,10504,2.9
2024-01-19,Cuma,Lunch,108,126,13608,10206,3402,2.1
2024-01-19,Cuma,Dinner,202,198,39996,29997,9999,2.8
2024-01-20,Cumartesi,Lunch,122,132,16104,12078,4026,2.3
2024-01-20,Cumartesi,Dinner,218,208,45344,34008,11336,3.0
2024-01-26,Cuma,Lunch,110,128,14080,10560,3520,2.1
2024-01-26,Cuma,Dinner,205,200,41000,30750,10250,2.9
2024-01-27,Cumartesi,Lunch,125,135,16875,12656,4219,2.3
2024-01-27,Cumartesi,Dinner,220,210,46200,34650,11550,3.1
2024-02-02,Cuma,Lunch,112,130,14560,10920,3640,2.2
2024-02-02,Cuma,Dinner,208,202,42016,31512,10504,2.9
2024-02-09,Cuma,Lunch,115,132,15180,11385,3795,2.2
2024-02-09,Cuma,Dinner,212,205,43460,32595,10865,2.9
2024-02-14,Çarşamba,Dinner,245,225,55125,41344,13781,3.2
2024-02-16,Cuma,Lunch,118,135,15930,11948,3982,2.3
2024-02-16,Cuma,Dinner,225,215,48375,36281,12094,3.1
2024-02-23,Cuma,Lunch,120,138,16560,12420,4140,2.3
2024-02-23,Cuma,Dinner,228,218,49704,37278,12426,3.2
2024-03-01,Cuma,Lunch,122,140,17080,12810,4270,2.4
2024-03-01,Cuma,Dinner,230,220,50600,37950,12650,3.2
2024-03-08,Cuma,Lunch,125,142,17750,13313,4437,2.4
2024-03-08,Cuma,Dinner,235,225,52875,39656,13219,3.3
2024-03-15,Cuma,Lunch,128,145,18560,13920,4640,2.5
2024-03-15,Cuma,Dinner,240,228,54720,41040,13680,3.4
2024-03-22,Cuma,Lunch,130,148,19240,14430,4810,2.5
2024-03-22,Cuma,Dinner,242,230,55660,41745,13915,3.4
2024-03-29,Cuma,Lunch,132,150,19800,14850,4950,2.6
2024-03-29,Cuma,Dinner,245,232,56840,42630,14210,3.5
2024-04-05,Cuma,Lunch,128,148,18944,14208,4736,2.5
2024-04-05,Cuma,Dinner,238,228,54264,40698,13566,3.3
2024-04-12,Cuma,Lunch,125,145,18125,13594,4531,2.4
2024-04-12,Cuma,Dinner,235,225,52875,39656,13219,3.3
2024-04-19,Cuma,Lunch,122,142,17324,12993,4331,2.4
2024-04-19,Cuma,Dinner,230,222,51060,38295,12765,3.2
2024-04-26,Cuma,Lunch,120,140,16800,12600,4200,2.3
2024-04-26,Cuma,Dinner,228,220,50160,37620,12540,3.1
2024-05-03,Cuma,Lunch,118,138,16284,12213,4071,2.3
2024-05-03,Cuma,Dinner,225,218,49050,36788,12262,3.1
2024-05-10,Cuma,Lunch,115,135,15525,11644,3881,2.2
2024-05-10,Cuma,Dinner,220,215,47300,35475,11825,3.0
2024-05-17,Cuma,Lunch,112,132,14784,11088,3696,2.2
2024-05-17,Cuma,Dinner,218,212,46216,34662,11554,2.9
2024-05-24,Cuma,Lunch,110,130,14300,10725,3575,2.1
2024-05-24,Cuma,Dinner,215,210,45150,33863,11287,2.9
2024-05-31,Cuma,Lunch,108,128,13824,10368,3456,2.1
2024-05-31,Cuma,Dinner,212,208,44096,33072,11024,2.8
2024-06-07,Cuma,Lunch,105,125,13125,9844,3281,2.0
2024-06-07,Cuma,Dinner,208,205,42640,31980,10660,2.8
2024-06-14,Cuma,Lunch,102,122,12444,9333,3111,2.0
2024-06-14,Cuma,Dinner,205,202,41410,31058,10352,2.7
2024-06-21,Cuma,Lunch,100,120,12000,9000,3000,1.9
2024-06-21,Cuma,Dinner,202,200,40400,30300,10100,2.7
2024-06-28,Cuma,Lunch,98,118,11564,8673,2891,1.9
2024-06-28,Cuma,Dinner,200,198,39600,29700,9900,2.6





