date,plant,line,shift,product_sku,planned_units,units_produced,units_good
2024-01-03,Plant-01,Line-A,Day,P001,1200,1180,1158
2024-01-03,Plant-01,Line-A,Night,P001,600,590,578
2024-01-04,Plant-01,Line-B,Day,P002,850,835,810
2024-01-04,Plant-01,Line-B,Night,P002,420,410,395
2024-01-06,Plant-01,Line-C,Day,P003,420,410,390
2024-01-08,Plant-01,Line-A,Day,P001,1150,1135,1115
2024-01-08,Plant-01,Line-A,Night,P001,580,570,560
2024-01-09,Plant-01,Line-B,Day,P002,920,905,880
2024-01-11,Plant-01,Line-A,Day,P001,1300,1280,1256
2024-01-13,Plant-01,Line-C,Day,P003,380,370,345
2024-01-16,Plant-01,Line-A,Day,P001,1250,1235,1210
2024-01-16,Plant-01,Line-A,Night,P001,630,620,608
2024-01-17,Plant-01,Line-B,Day,P002,880,865,840
2024-01-19,Plant-01,Line-A,Day,P001,1280,1265,1240
2024-01-21,Plant-01,Line-C,Day,P003,450,440,410
2024-01-23,Plant-01,Line-B,Day,P002,900,885,860
2024-01-26,Plant-01,Line-A,Day,P001,1320,1305,1280
2024-01-29,Plant-01,Line-B,Day,P002,950,935,910
2024-01-31,Plant-01,Line-A,Day,P001,1350,1335,1310
2024-02-03,Plant-01,Line-A,Day,P001,1400,1385,1360
2024-02-03,Plant-01,Line-A,Night,P001,700,690,678
2024-02-04,Plant-01,Line-C,Day,P003,460,450,420
2024-02-06,Plant-01,Line-B,Day,P002,980,965,938
2024-02-09,Plant-01,Line-A,Day,P001,1380,1365,1340
2024-02-11,Plant-01,Line-C,Day,P003,440,430,400
2024-02-13,Plant-01,Line-B,Day,P002,1000,985,958
2024-02-16,Plant-01,Line-A,Day,P001,1420,1405,1380
2024-02-19,Plant-01,Line-B,Day,P002,1020,1005,978
2024-02-21,Plant-01,Line-A,Day,P001,1450,1435,1410
2024-02-23,Plant-01,Line-C,Day,P003,480,470,435
2024-02-26,Plant-01,Line-B,Day,P002,1050,1035,1008
2024-02-29,Plant-01,Line-A,Day,P001,1480,1465,1440
2024-03-02,Plant-01,Line-A,Day,P001,1500,1485,1460
2024-03-04,Plant-01,Line-B,Day,P002,1080,1065,1038
2024-03-06,Plant-01,Line-C,Day,P003,500,490,453
2024-03-09,Plant-01,Line-A,Day,P001,1520,1505,1480
2024-03-11,Plant-01,Line-B,Day,P002,1100,1085,1058
2024-03-13,Plant-01,Line-A,Day,P001,1550,1535,1510
2024-03-16,Plant-01,Line-C,Day,P003,520,510,470
2024-03-19,Plant-01,Line-B,Day,P002,1120,1105,1078
2024-03-21,Plant-01,Line-A,Day,P001,1580,1565,1540
2024-03-23,Plant-01,Line-B,Day,P002,1150,1135,1108
2024-03-26,Plant-01,Line-A,Day,P001,1600,1585,1560
2024-03-29,Plant-01,Line-C,Day,P003,540,530,485
2024-03-31,Plant-01,Line-A,Day,P001,1620,1605,1580
2024-04-03,Plant-01,Line-B,Day,P002,1180,1165,1138
2024-04-06,Plant-01,Line-A,Day,P001,1580,1565,1540
2024-04-09,Plant-01,Line-C,Day,P003,510,500,460
2024-04-11,Plant-01,Line-B,Day,P002,1160,1145,1118
2024-04-13,Plant-01,Line-A,Day,P001,1550,1535,1510
2024-04-16,Plant-01,Line-B,Day,P002,1140,1125,1098
2024-04-19,Plant-01,Line-A,Day,P001,1520,1505,1480
2024-04-21,Plant-01,Line-C,Day,P003,490,480,440
2024-04-23,Plant-01,Line-B,Day,P002,1100,1085,1058
2024-04-26,Plant-01,Line-A,Day,P001,1480,1465,1440
2024-04-29,Plant-01,Line-B,Day,P002,1080,1065,1038
2024-05-01,Plant-01,Line-A,Day,P001,1450,1435,1410
2024-05-03,Plant-01,Line-A,Day,P001,1420,1405,1380
2024-05-06,Plant-01,Line-C,Day,P003,470,460,420
2024-05-09,Plant-01,Line-B,Day,P002,1050,1035,1008
2024-05-11,Plant-01,Line-A,Day,P001,1400,1385,1360
2024-05-13,Plant-01,Line-B,Day,P002,1020,1005,978
2024-05-16,Plant-01,Line-A,Day,P001,1380,1365,1340
2024-05-19,Plant-01,Line-C,Day,P003,450,440,405
2024-05-21,Plant-01,Line-B,Day,P002,1000,985,958
2024-05-23,Plant-01,Line-A,Day,P001,1350,1335,1310
2024-05-26,Plant-01,Line-B,Day,P002,980,965,938
2024-05-29,Plant-01,Line-A,Day,P001,1320,1305,1280
2024-05-31,Plant-01,Line-C,Day,P003,430,420,385
2024-06-03,Plant-01,Line-A,Day,P001,1300,1285,1260
2024-06-06,Plant-01,Line-B,Day,P002,950,935,910
2024-06-09,Plant-01,Line-A,Day,P001,1280,1265,1240
2024-06-11,Plant-01,Line-C,Day,P003,410,400,365
2024-06-13,Plant-01,Line-B,Day,P002,920,905,880
2024-06-16,Plant-01,Line-A,Day,P001,1250,1235,1210
2024-06-19,Plant-01,Line-B,Day,P002,900,885,860
2024-06-21,Plant-01,Line-A,Day,P001,1220,1205,1180
2024-06-23,Plant-01,Line-C,Day,P003,390,380,345
2024-06-26,Plant-01,Line-B,Day,P002,880,865,840
2024-06-29,Plant-01,Line-A,Day,P001,1200,1185,1160
2024-06-30,Plant-01,Line-B,Day,P002,850,835,810










