date,product_sku,material_cost,labor_cost,overhead_cost,energy_cost
2024-01-03,P001,28.50,10.20,4.80,1.50
2024-01-04,P002,40.00,13.50,6.20,2.30
2024-01-06,P003,58.00,18.00,8.50,3.50
2024-01-08,P001,28.50,10.20,4.80,1.50
2024-01-09,P002,40.00,13.50,6.20,2.30
2024-01-11,P001,28.60,10.30,4.85,1.55
2024-01-13,P003,58.20,18.50,8.60,3.70
2024-01-16,P001,28.60,10.30,4.85,1.55
2024-01-17,P002,40.10,13.60,6.25,2.35
2024-01-19,P001,28.60,10.30,4.85,1.55
2024-01-21,P003,58.40,19.00,8.70,3.90
2024-01-23,P002,40.10,13.60,6.25,2.35
2024-01-26,P001,28.70,10.35,4.90,1.60
2024-01-29,P002,40.20,13.70,6.30,2.40
2024-01-31,P001,28.70,10.35,4.90,1.60
2024-02-03,P001,28.80,10.40,4.95,1.65
2024-02-04,P003,58.60,19.50,8.80,4.10
2024-02-06,P002,40.30,13.80,6.35,2.45
2024-02-09,P001,28.80,10.40,4.95,1.65
2024-02-11,P003,58.80,20.00,8.90,4.30
2024-02-13,P002,40.40,13.85,6.40,2.50
2024-02-16,P001,28.90,10.45,5.00,1.70
2024-02-19,P002,40.50,13.90,6.45,2.55
2024-02-21,P001,28.90,10.50,5.05,1.75
2024-02-23,P003,59.00,20.50,9.00,4.50
2024-02-26,P002,40.60,13.95,6.50,2.60
2024-02-29,P001,29.00,10.55,5.10,1.80
2024-03-02,P001,29.00,10.60,5.15,1.85
2024-03-04,P002,40.70,14.00,6.55,2.65
2024-03-06,P003,59.20,21.00,9.10,4.70
2024-03-09,P001,29.10,10.65,5.20,1.90
2024-03-11,P002,40.80,14.05,6.60,2.70
2024-03-13,P001,29.10,10.70,5.25,1.95
2024-03-16,P003,59.40,21.50,9.20,4.90
2024-03-19,P002,40.90,14.10,6.65,2.75
2024-03-21,P001,29.20,10.75,5.30,2.00
2024-03-23,P002,41.00,14.15,6.70,2.80
2024-03-26,P001,29.20,10.80,5.35,2.05
2024-03-29,P003,59.60,22.00,9.30,5.10
2024-03-31,P001,29.30,10.85,5.40,2.10
2024-04-03,P002,41.10,14.20,6.75,2.85
2024-04-06,P001,29.30,10.85,5.40,2.10
2024-04-09,P003,59.80,21.80,9.25,5.00
2024-04-11,P002,41.20,14.20,6.75,2.85
2024-04-13,P001,29.40,10.90,5.45,2.15
2024-04-16,P002,41.30,14.25,6.80,2.90
2024-04-19,P001,29.40,10.95,5.50,2.20
2024-04-21,P003,60.00,21.60,9.20,4.95
2024-04-23,P002,41.40,14.30,6.85,2.95
2024-04-26,P001,29.50,11.00,5.55,2.25
2024-04-29,P002,41.50,14.30,6.85,2.95
2024-05-01,P001,29.50,11.00,5.55,2.25
2024-05-03,P001,29.60,11.05,5.60,2.30
2024-05-06,P003,60.20,21.40,9.15,4.90
2024-05-09,P002,41.60,14.35,6.90,3.00
2024-05-11,P001,29.60,11.10,5.65,2.35
2024-05-13,P002,41.70,14.40,6.95,3.05
2024-05-16,P001,29.70,11.15,5.70,2.40
2024-05-19,P003,60.40,21.20,9.10,4.85
2024-05-21,P002,41.80,14.45,7.00,3.10
2024-05-23,P001,29.70,11.20,5.75,2.45
2024-05-26,P002,41.90,14.50,7.05,3.15
2024-05-29,P001,29.80,11.25,5.80,2.50
2024-05-31,P003,60.60,21.00,9.05,4.80
2024-06-03,P001,29.80,11.30,5.85,2.55
2024-06-06,P002,42.00,14.50,7.05,3.15
2024-06-09,P001,29.90,11.35,5.90,2.60
2024-06-11,P003,60.80,20.80,9.00,4.75
2024-06-13,P002,42.10,14.55,7.10,3.20
2024-06-16,P001,29.90,11.40,5.95,2.65
2024-06-19,P002,42.20,14.60,7.15,3.25
2024-06-21,P001,30.00,11.45,6.00,2.70
2024-06-23,P003,61.00,20.60,8.95,4.70
2024-06-26,P002,42.30,14.65,7.20,3.30
2024-06-29,P001,30.00,11.50,6.05,2.75
2024-06-30,P002,42.40,14.70,7.25,3.35










